fragment, used, inprojects, sloc, usedsloc, percent,,
12375937_0.java,1,1,24,10,0.42,,
14693840_0.java,1,1,24,10,0.42,,
20717451_0.java,1,1,12,5,0.42,,
7653558_2.java,1,1,17,7,0.41,,
4705410_0.java,1,1,20,8,0.4,,
4771030_0.java,1,1,15,6,0.4,,
7504040_2.java,1,1,15,6,0.4,,
11756284_0.java,1,1,18,7,0.39,,
18947675_0.java,1,1,18,7,0.39,,
5325408_1.java,1,1,26,10,0.38,,
13460735_0.java,1,1,13,5,0.38,,
8007983_1.java,1,1,16,6,0.38,,
8416340_0.java,1,1,27,10,0.37,,
23070487_0.java,1,1,19,7,0.37,,
24963319_5.java,1,1,19,7,0.37,,
22735160_0.java,1,1,28,10,0.36,,
11602665_0.java,1,1,14,5,0.36,,
4053177_0.java,1,1,14,5,0.36,,
10031897_0.java,1,1,14,5,0.36,,
14176961_1.java,1,1,14,5,0.36,,
3537407_0.java,1,1,17,6,0.35,,
4196836_0.java,1,1,20,7,0.35,,
20189901_8.java,1,1,20,7,0.35,,
6240956_1.java,1,1,20,7,0.35,,
5771041_0.java,1,1,20,7,0.35,,
22315734_0.java,1,1,26,9,0.35,,
7272251_0.java,1,1,29,10,0.34,,
24736685_0.java,1,1,21,7,0.33,,
3137777_1.java,1,1,18,6,0.33,,
9925895_0.java,1,1,18,6,0.33,,
17015548_0.java,1,1,18,6,0.33,,
16755253_0.java,1,1,18,6,0.33,,
8970260_0.java,1,1,15,5,0.33,,
10140686_0.java,1,1,15,5,0.33,,
7888049_0.java,1,1,15,5,0.33,,
13392391_0.java,1,1,16,5,0.31,,
25304185_0.java,1,1,23,7,0.3,,
25108080_0.java,1,1,23,7,0.3,,
20577069_0.java,1,1,33,10,0.3,,
9859376_0.java,1,1,33,10,0.3,,
8325842_0.java,1,1,33,10,0.3,,
4001722_0.java,1,1,20,6,0.3,,
22466372_0.java,1,1,20,6,0.3,,
22214357_0.java,1,1,17,5,0.29,,
8964820_0.java,1,1,21,6,0.29,,
6908216_0.java,1,1,22,6,0.27,,
4903799_0.java,1,1,22,6,0.27,,
5190105_0.java,1,1,37,10,0.27,,
11322575_0.java,1,1,19,5,0.26,,
14173799_1.java,1,1,23,6,0.26,,
12477263_0.java,1,1,23,6,0.26,,
22576386_0.java,1,1,27,7,0.26,,
21099738_0.java,1,1,58,15,0.26,,
15271448_0.java,1,1,28,7,0.25,,
25505852_2.java,1,1,28,7,0.25,,
14740385_4.java,1,1,20,5,0.25,,
11092289_1.java,1,1,57,14,0.25,,
14804456_0.java,1,1,41,10,0.24,,
19084086_0.java,1,1,29,7,0.24,,
17333568_0.java,1,1,26,6,0.23,,
22233497_0.java,1,1,44,10,0.23,,
3806154_0.java,1,1,22,5,0.23,,
5975897_0.java,1,1,40,9,0.23,,
22852349_1.java,1,1,23,5,0.22,,
7504040_3.java,1,1,28,6,0.21,,
11824150_0.java,1,1,24,5,0.21,,
6738931_0.java,1,1,24,5,0.21,,
11173409_0.java,1,1,24,5,0.21,,
20384228_0.java,1,1,34,7,0.21,,
23846367_1.java,1,1,26,5,0.19,,
11775529_0.java,1,1,26,5,0.19,,
16473163_0.java,1,1,26,5,0.19,,
17648378_0.java,1,1,26,5,0.19,,
9709633_0.java,1,1,169,32,0.19,,
12812198_0.java,1,1,37,7,0.19,,
18833798_0.java,1,1,43,8,0.19,,
12907249_0.java,1,1,39,7,0.18,,
7402814_0.java,1,1,34,6,0.18,,
14693840_5.java,1,1,29,5,0.17,,
11608885_0.java,1,1,35,6,0.17,,
6153182_0.java,1,1,30,5,0.17,,
4881082_0.java,1,1,30,5,0.17,,
9650217_0.java,1,1,62,10,0.16,,
18532857_0.java,1,1,31,5,0.16,,
2953040_0.java,1,1,44,7,0.16,,
23800112_0.java,1,1,44,7,0.16,,
13336902_2.java,1,1,32,5,0.16,,
12917441_0.java,1,1,32,5,0.16,,
25776609_1.java,1,1,45,7,0.16,,
9984165_0.java,1,1,68,10,0.15,,
14677473_0.java,1,1,34,5,0.15,,
