fragment, used, inprojects, sloc, usedsloc, percent,
18532857_0.java,1,1,31,5,0.16,
6965149_0.java,21,20,30,5,0.17,
7691963_0.java,3,1,30,5,0.17,
6153182_0.java,1,1,30,5,0.17,
4881082_0.java,1,1,30,5,0.17,
22930527_1.java,2,2,29,5,0.17,
14693840_5.java,1,1,29,5,0.17,
21620983_1.java,5,5,28,5,0.18,
7728817_0.java,3,3,27,5,0.19,
17839323_0.java,2,2,26,5,0.19,
23846367_1.java,1,1,26,5,0.19,
11775529_0.java,1,1,26,5,0.19,
16473163_0.java,1,1,26,5,0.19,
17648378_0.java,1,1,26,5,0.19,
15705710_0.java,29,26,25,5,0.20,
18832502_1.java,21,20,25,5,0.20,
1732506_0.java,3,3,25,5,0.20,
3388910_0.java,2,2,25,5,0.20,
11824150_0.java,1,1,24,5,0.21,
6738931_0.java,1,1,24,5,0.21,
11173409_0.java,1,1,24,5,0.21,
23344377_0.java,5,5,23,5,0.22,
22852349_1.java,1,1,23,5,0.22,
16270950_0.java,10,6,22,5,0.23,
25366055_0.java,5,4,22,5,0.23,
13171520_0.java,3,3,22,5,0.23,
3806154_0.java,1,1,22,5,0.23,
13125257_0.java,8,7,21,5,0.24,
14634075_2.java,5,5,21,5,0.24,
14165567_1.java,3,3,21,5,0.24,
14740385_4.java,1,1,20,5,0.25,
17966859_0.java,3,2,19,5,0.26,
8836350_0.java,3,2,19,5,0.26,
11322575_0.java,1,1,19,5,0.26,
17573548_0.java,6,6,18,5,0.28,
19459023_0.java,4,2,18,5,0.28,
17873797_0.java,3,2,18,5,0.28,
9404593_0.java,13,7,17,5,0.29,
9829474_0.java,6,3,17,5,0.29,
22214357_0.java,1,1,17,5,0.29,
17994928_0.java,2,1,16,5,0.31,
13392391_0.java,1,1,16,5,0.31,
17175043_1.java,5,5,15,5,0.33,
21620983_0.java,5,5,15,5,0.33,
8970260_0.java,1,1,15,5,0.33,
10140686_0.java,1,1,15,5,0.33,
7888049_0.java,1,1,15,5,0.33,
15209900_0.java,4,4,14,5,0.36,
11602665_0.java,1,1,14,5,0.36,
4053177_0.java,1,1,14,5,0.36,
10031897_0.java,1,1,14,5,0.36,
14176961_1.java,1,1,14,5,0.36,
5558166_0.java,3,3,13,5,0.38,
13460735_0.java,1,1,13,5,0.38,
23305945_0.java,20,4,12,5,0.42,
20717451_0.java,1,1,12,5,0.42,
5309185_0.java,5,5,11,5,0.45,
