fragment, used, inprojects, sloc, usedsloc, percent,
20593873_1.java,136869,3835,112,6,0.053571429,
21141147_1.java,136514,3567,29,6,0.206896552,
23368411_2.java,136368,3492,35,6,0.171428571,
7116639_1.java,136347,3524,28,6,0.214285714,
11903456_0.java,136127,3492,32,6,0.1875,
13155018_1.java,136127,3492,30,6,0.2,
13155018_0.java,136127,3492,31,6,0.193548387,
7836146_0.java,135997,4603,37,6,0.162162162,
23291118_1.java,135777,3638,35,6,0.171428571,
11261329_1.java,135695,3945,42,6,0.142857143,
4377130_0.java,135689,3834,36,6,0.166666667,
14804456_0.java,135482,3649,41,4,0.097560976,
5690669_0.java,135064,3600,48,4,0.083333333,
16902813_2.java,135016,3392,66,6,0.090909091,
11291340_0.java,134701,3510,32,6,0.1875,
3930240_0.java,134679,3491,70,6,0.085714286,
24735221_0.java,134608,3625,92,6,0.065217391,
10733298_0.java,134570,3426,73,6,0.082191781,
7836146_3.java,134493,3524,28,6,0.214285714,
5325408_1.java,134493,3524,26,6,0.230769231,
23160207_0.java,134492,4063,35,6,0.171428571,
23339759_1.java,134478,4123,40,6,0.15,
16831289_0.java,134443,3491,44,6,0.136363636,
14740385_1.java,134427,3481,24,6,0.25,
22572485_0.java,134427,3481,25,6,0.24,
19195483_2.java,134427,3481,25,6,0.24,
24307978_0.java,134300,3312,49,6,0.12244898,
11083864_3.java,134087,3437,37,6,0.162162162,
11083864_1.java,134054,3423,38,6,0.157894737,
14185372_0.java,134014,4941,81,6,0.074074074,
10357615_0.java,133772,3399,95,6,0.063157895,
2322697_0.java,133743,3561,86,6,0.069767442,
8199584_0.java,133724,3406,190,6,0.031578947,
21522654_0.java,133496,3284,30,6,0.2,
9401207_0.java,133349,3346,30,6,0.2,
19435088_0.java,133344,3338,74,6,0.081081081,
21650462_3.java,133263,3281,30,6,0.2,
1988212_1.java,133238,3275,37,6,0.162162162,
3939285_0.java,133201,3264,29,6,0.206896552,
22970618_0.java,133201,3264,38,6,0.157894737,
24056686_0.java,133189,3259,20,6,0.3,
13550103_1.java,133189,3259,44,6,0.136363636,
18447971_0.java,133189,3259,21,6,0.285714286,
14986770_0.java,133074,3509,144,6,0.041666667,
10864069_0.java,131649,863,120,4,0.033333333,
20678661_0.java,128419,7207,197,4,0.020304569,
12909582_0.java,128016,3832,118,6,0.050847458,
22598794_0.java,127559,3842,300,6,0.02,
23124234_1.java,125533,8905,168,6,0.035714286,
24731866_2.java,125493,4041,25,6,0.24,
10724604_1.java,124711,3385,46,6,0.130434783,
13389283_0.java,124097,7657,76,6,0.078947368,
23264885_0.java,123728,3536,38,6,0.157894737,
22740737_1.java,123326,8605,46,4,0.086956522,
10379982_1.java,122917,5673,110,4,0.036363636,
11980409_0.java,122361,5237,172,4,0.023255814,
10369974_1.java,122228,5504,135,4,0.02962963,
12319533_0.java,121407,3308,86,6,0.069767442,
14577415_1.java,121072,930,40,4,0.1,
16363314_4.java,120222,5392,165,4,0.024242424,
7016492_4.java,118743,7207,90,6,0.066666667,
25113070_0.java,117519,4852,24,4,0.166666667,
25147883_1.java,116723,5470,79,4,0.050632911,
9903386_0.java,116352,5632,17,4,0.235294118,
22223854_0.java,116331,5629,18,4,0.222222222,
15408066_0.java,116005,7710,96,6,0.0625,
13937512_1.java,115970,7834,79,6,0.075949367,
23163365_0.java,115929,5755,52,4,0.076923077,
