fragment, used, inprojects, sloc, usedsloc, percent
18419038_1.java,15056,720,112,4,0.03571428571428571
24689280_1.java,43432,989,21,4,0.19047619047619047
17304245_3.java,13,13,100,6,0.06
5327538_0.java,5,4,17,4,0.23529411764705882
911056_0.java,125,96,17,5,0.29411764705882354
11845817_0.java,14,14,16,4,0.25
14805762_1.java,1,1,10,4,0.4
20499986_0.java,1,1,11,5,0.45454545454545453
23435194_0.java,42,38,5,4,0.8
16665936_0.java,17,17,19,5,0.2631578947368421
20997941_0.java,101,70,10,5,0.5
21791132_0.java,14,14,9,5,0.5555555555555556
16011322_0.java,1,1,11,4,0.36363636363636365
7954194_0.java,1,1,24,5,0.20833333333333334
18159903_2.java,21988,5347,10,4,0.4
10599247_0.java,1,1,17,9,0.5294117647058824
18011591_0.java,20147,4985,43,4,0.09302325581395349
9194419_0.java,50,50,10,5,0.5
24924462_0.java,48,41,24,4,0.16666666666666666
3842958_0.java,2,2,37,4,0.10810810810810811
10292516_0.java,21,13,79,5,0.06329113924050633
10201647_1.java,222,53,8,4,0.5
3111472_0.java,1945,417,44,4,0.09090909090909091
10606820_0.java,1656,1553,122,4,0.03278688524590164
10232276_0.java,2,2,13,5,0.38461538461538464
20258229_0.java,13,13,7,4,0.5714285714285714
19506253_0.java,4,3,39,5,0.1282051282051282
24022931_0.java,3045,662,26,4,0.15384615384615385
11718452_0.java,1523,125,12,4,0.3333333333333333
3138114_0.java,23,17,8,5,0.625
14900988_0.java,1,1,24,4,0.16666666666666666
14460390_0.java,35,31,25,4,0.16
13050655_0.java,114,80,22,5,0.22727272727272727
11510642_0.java,806,597,17,5,0.29411764705882354
14043923_0.java,104,95,22,4,0.18181818181818182
23047777_0.java,23340,5578,50,4,0.08
15847229_2.java,1,1,21,5,0.23809523809523808
20123106_0.java,34,26,53,5,0.09433962264150944
19131787_0.java,52,47,8,4,0.5
22481174_0.java,2,2,23,4,0.17391304347826086
8085993_1.java,2,2,6,4,0.6666666666666666
20940298_2.java,26,20,10,4,0.4
5668510_0.java,222933,5925,516,6,0.011627906976744186
