SD,SE,ND,NE
,,,5
,,,4
,,,4
,,,4
,,,4
,,,4
,,,5
,,,4
,,,7
,,,6
,,,7
,,,7
,,,4
,,,5
,,,5
,,,5
,,,14
,,,6
,,,5
,,,6
,,,5
,,,4
,,,7
,,,5
,,,5
,,,4
,,,4
,,,4
,,,6
,,,4
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,9
,,,4
,,,4
,,,6
,,,6
,,,6
,,,5
,,,4
,,,4
,,,4
,,,4
,,,4
,,,7
,,,4
,,,6
,,,6
,,,5
,,,4
,,,4
,,,4
,,,4
,,,7
,,,8
,,,5
,,,5
,,,7
,,,5
,,,8
,,,4
,,,4
,,,7
,,,4
,,,4
,,,4
,,,7
,,,4
,,,4
,,,7
,,,4
,,,6
,,,7
,,,7
,,,6
,,,6
,,,5
,,,6
,,,5
,,,4
,,,4
,,,6
,,,5
,,,4
,,,4
,,,6
,,,4
,,,6
,,,4
,,,4
,,,8
,,,4
,,,5
,,,6
,,,5
,,,7
,,,4
,,,6
,,,4
,,,6
,,,6
,,,5
,,,6
,,,4
,,,7
,,,5
,,,4
,,,4
,,,4
,,,6
,,,9
,,,4
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,4
,,,4
,,,4
,,,5
,,,4
,,,4
,,,4
,,,6
,,,4
,,,5
,,,4
,,,8
,,,9
,,,4
,,,4
,,,4
,,,6
,,,7
,,,6
,,,8
,,,4
,,,5
,,,4
,,,6
,,,7
,,,5
,,,4
,,,4
,,,8
,,,7
,,,4
,,,5
,,,6
,,,5
,,,6
,,,4
,,,4
,,,4
,,,4
,,,5
,,,5
,,,6
,,,4
,,,4
,,,6
,,,7
,,,4
,,,4
,,,4
,,,7
,,,5
,,,6
,,,6
,,,4
,,,4
,,,7
,,,5
,,,4
,,,6
,,,5
,,,6
,,,4
,,,9
,,,4
,,,6
,,,4
,,,5
,,,8
,,,6
,,,7
,,,11
,,,8
,,,4
,,,7
,,,5
,,,5
,,,4
,,,4
,,,4
,,,4
,,,4
,,,5
,,,4
,,,6
,,,4
,,,4
,,,7
,,,4
,,,5
,,,6
,,,5
,,,6
,,,4
,,,4
,,,7
,,,4
,,,6
,,,4
,,,5
,,,5
,,,6
